nom région,Surface Viande en m2,Surface Végétale en m2
Auvergne-Rhône-Alpes,15336420000,13189321200
Bourgogne-Franche-Comté,8357421600,16208332800
Bretagne,10964824000,4385929600
Centre-Val de Loire,4537600900,18389224700
Grand Est,5479108200,23438407300
Hauts-de-France,5408210000,14926659600
Île-de-France,345916800,5073446400
Normandie,9285813000,9492164400
Nouvelle-Aquitaine,10927930000,28580740000
Occitanie,10472256000,22340812800
Pays de la Loire,12653140800,7635516000
Provence-Alpes-Côte d'Azur,376800000,7008480000