tick_production_E'hydro_energy',tick_production_E'nuclear_energy',tick_production_E'solar_energy',tick_production_E'wind_energy',tick_total_consumption_E'any_energy',tick_total_consumption_E'hydro_energy',tick_total_consumption_E'nuclear_energy',tick_total_consumption_E'solar_energy',tick_total_consumption_E'wind_energy',tick_pop_consumption_E'any_energy',tick_resources_used_E'L water',tick_resources_used_E'mÂ² land',tick_emissions_E'hydro_energy',tick_emissions_E'nuclear_energy',tick_emissions_E'solar_energy',tick_emissions_E'wind_energy',tick_penurie_E'hydro_energy',tick_penurie_E'nuclear_energy',tick_penurie_E'solar_energy',tick_penurie_E'wind_energy'
nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil
nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil
8138947.08637046,21703858.89698789,13564911.810617434,10851929.448493944,45291352.97498684,0.0,0.0,0.0,0.0,1872834.965386841,122084206.29555692,3007069650.1776724,1139452592.0918643,1193712239.3343341,27129823.621234868,151927012.27891523,0.0,0.0,0.0,0.0
8113857.476844646,21636953.27158572,13523095.794741077,10818476.63579286,68809780.44410175,0.0,0.0,0.0,0.0,1817185.9523149177,121707862.15266971,2997799875.7782016,1135940046.7582505,1190032429.9372149,27046191.589482155,151458672.90110007,0.0,0.0,0.0,0.0
8142505.972292735,21713349.25944729,13570843.287154557,10856674.629723646,92411247.0304575,0.0,0.0,0.0,0.0,1869908.0647557548,122137589.58439104,3008384539.8964224,1139950836.120983,1194234209.269601,27141686.574309114,151993444.81613106,0.0,0.0,0.0,0.0
8147924.18451753,21727797.82538008,13579873.640862549,10863898.91269004,116028418.57978366,0.0,0.0,0.0,0.0,1914779.1389261764,122218862.76776297,3010386388.70641,1140709385.8324544,1195028880.3959045,27159747.281725097,152094584.77766055,0.0,0.0,0.0,0.0
8107879.858828197,21621012.95687519,13513133.098046994,10810506.478437595,139529519.6198654,0.0,0.0,0.0,0.0,1758146.6008817328,121618197.88242297,2995591345.175058,1135103180.2359478,1189155712.6281357,27026266.196093988,151347090.69812635,0.0,0.0,0.0,0.0
8115240.61484545,21640641.639587864,13525401.024742415,10820320.819793932,163051956.1846348,0.0,0.0,0.0,0.0,1818150.7487694216,121728609.22268178,2998310899.164899,1136133686.0783632,1190235290.1773326,27050802.04948483,151484491.47711506,0.0,0.0,0.0,0.0
8137330.183053592,21699547.15480958,13562216.971755987,10849773.57740479,186638420.48334086,0.0,0.0,0.0,0.0,1842117.649506066,122059952.74580391,3006472258.2988667,1139226225.627503,1193475093.5145268,27124433.943511974,151896830.08366704,0.0,0.0,0.0,0.0
8161735.194213222,21764627.18456859,13602891.99035537,10882313.592284296,210295623.94482848,0.0,0.0,0.0,0.0,1920540.1698876019,122426027.91319837,3015489096.4219785,1142642927.1898513,1197054495.1512725,27205783.98071074,152352390.29198015,0.0,0.0,0.0,0.0
8094727.187729471,21585939.167278588,13491211.97954912,10792969.583639294,233758601.30056608,0.0,0.0,0.0,0.0,1725070.3565375984,121420907.8159421,2990731871.626448,1133261806.282126,1187226654.2003224,26982423.95909824,151101574.1709501,0.0,0.0,0.0,0.0
8126833.394065074,21671555.717506863,13544722.32344179,10835777.858753432,257314640.12394312,0.0,0.0,0.0,0.0,1829276.739777028,121902500.91097613,3002594044.660576,1137756675.1691105,1191935564.4628775,27089444.64688358,151700890.02254805,0.0,0.0,0.0,0.0
8218391.565630991,21915710.84168264,13697319.276051654,10957855.42084132,281136064.951859,0.0,0.0,0.0,0.0,2080622.031915917,123275873.48446487,3036421737.11513,1150574819.1883388,1205364096.2925453,27394638.552103307,153409975.8917785,0.0,0.0,0.0,0.0
8191056.046800022,21842816.124800056,13651760.078000037,10921408.062400028,304878256.39185905,0.0,0.0,0.0,0.0,2000479.0668000637,122865840.70200033,3026322174.091048,1146747846.5520031,1201354886.8640032,27303520.156000074,152899712.8736004,0.0,0.0,0.0,0.0
8165005.89221905,21773349.045917463,13608343.153698416,10886674.522958731,328544940.13742155,0.0,0.0,0.0,0.0,1924080.3579624644,122475088.38328578,3016697510.311865,1143100824.9106672,1197534197.5254605,27216686.307396833,152413443.32142225,0.0,0.0,0.0,0.0
8132369.069701588,21686317.519204233,13553948.449502645,10843158.759602116,352117024.3974261,0.0,0.0,0.0,0.0,1828682.6720046045,121985536.04552384,3004639292.2857466,1138531669.7582223,1192747463.556233,27107896.89900529,151804222.63442963,0.0,0.0,0.0,0.0
8147238.335737125,21725968.895299,13578730.559561873,10862984.4476495,375732207.97927284,0.0,0.0,0.0,0.0,1860887.2718467398,122208575.03605689,3010132990.443676,1140613367.0031977,1194928289.2414448,27157461.119123746,152081782.267093,0.0,0.0,0.0,0.0
8165757.771628176,21775354.057675134,13609596.286046961,10887677.028837567,399401071.08544147,0.0,0.0,0.0,0.0,1922398.6561686273,122486366.57442267,3016975304.69089,1143206088.0279448,1197644473.1721325,27219192.572093923,152427478.40372595,0.0,0.0,0.0,0.0
8116108.855492951,21642956.9479812,13526848.092488253,10821478.4739906,422926024.2897689,0.0,0.0,0.0,0.0,1790134.865527396,121741632.83239429,2998631685.1427956,1136255239.7690132,1190362632.138966,27053696.184976507,151500698.63586843,0.0,0.0,0.0,0.0
8167131.840644125,21779018.241717666,13611886.401073543,10889509.120858833,446598870.2046794,0.0,0.0,0.0,0.0,1924450.9337105085,122506977.60966189,3017482977.389982,1143398457.6901777,1197846003.2944717,27223772.802147087,152453127.69202366,0.0,0.0,0.0,0.0
8145029.157848676,21720077.754263133,13575048.59641446,10860038.877131566,470207650.3723568,0.0,0.0,0.0,0.0,1858992.976477321,122175437.36773016,3009316772.853157,1140304082.0988147,1194604276.4844723,27150097.19282892,152040544.27984193,0.0,0.0,0.0,0.0
8247637.823113349,21993700.861635596,13746063.03852225,10996850.430817798,494113846.9610911,0.0,0.0,0.0,0.0,2154738.7455343474,123714567.34670027,3047227254.379612,1154669295.235869,1209653547.389958,27492126.0770445,153955906.03144917,0.0,0.0,0.0,0.0
8168752.580129031,21783340.213677414,13614587.633548385,10891670.106838707,517791390.67161,0.0,0.0,0.0,0.0,1915766.5921189324,122531288.70193549,3018081786.6050057,1143625361.2180645,1198083711.7522578,27229175.26709677,152483381.4957419,0.0,0.0,0.0,0.0
8146336.811837868,21723564.831567645,13577228.01972978,10861782.415783823,541403961.1407053,0.0,0.0,0.0,0.0,1858346.7686952706,122195052.17756803,3009799907.4136972,1140487153.6573017,1194796065.7362206,27154456.03945956,152064953.82097352,0.0,0.0,0.0,0.0
8236705.869648213,21964548.985728566,13727843.116080353,10982274.492864283,565278470.9078015,0.0,0.0,0.0,0.0,2110542.2382962704,123550588.0447232,3043188261.972693,1153138821.7507498,1208050194.2150712,27455686.232160706,153751842.90009996,0.0,0.0,0.0,0.0
8219699.117820957,21919197.64752255,13699498.529701596,10959598.823761275,589103685.7420652,0.0,0.0,0.0,0.0,2068540.844263645,123295486.76731436,3036904834.0642495,1150757876.494934,1205555870.6137404,27398997.059403192,153434383.53265786,0.0,0.0,0.0,0.0
8211693.926429257,21897850.470478017,13686156.544048762,10948925.235239008,612905697.1230196,0.0,0.0,0.0,0.0,2044205.0601543684,123175408.89643888,3033947182.684729,1149637149.7000961,1204381775.876291,27372313.088097524,153284953.2933461,0.0,0.0,0.0,0.0
8207528.569211384,21886742.851230357,13679214.282018973,10943371.425615178,636695635.0047919,0.0,0.0,0.0,0.0,2021886.5369721293,123112928.53817077,3032408222.037966,1149053999.6895938,1203770856.8176696,27358428.564037945,153207199.9586125,0.0,0.0,0.0,0.0
8300522.734190521,22134727.291174717,13834204.556984203,11067363.645587359,660755121.1908513,0.0,0.0,0.0,0.0,2289337.2448594817,124507841.01285784,3066766466.1922574,1162073182.786673,1217410001.0146096,27668409.113968406,154943091.03822306,0.0,0.0,0.0,0.0
8173697.650746764,21796527.068658035,13622829.417911274,10898263.534329018,684446998.4393927,0.0,0.0,0.0,0.0,1929838.609341347,122605464.76120149,3019908825.362571,1144317671.104547,1198808988.776192,27245658.83582255,152575689.48060626,0.0,0.0,0.0,0.0
8194493.869564672,21851983.652172457,13657489.782607788,10925991.826086229,708199154.5830584,0.0,0.0,0.0,0.0,1978907.2148657194,122917408.0434701,3027592335.0084944,1147229141.7390542,1201859100.8694854,27314979.565215576,152963885.5652072,0.0,0.0,0.0,0.0
8276525.186647191,22070733.831059173,13794208.644411983,11035366.915529586,732189082.6602966,0.0,0.0,0.0,0.0,2215491.1292382344,124147877.79970787,3057900172.293248,1158713526.1306067,1213890360.7082546,27588417.288823966,154495136.81741422,0.0,0.0,0.0,0.0
8264545.056950633,22038786.81853502,13774241.761584388,11019393.40926751,756144285.7239217,0.0,0.0,0.0,0.0,2179114.0264250254,123968175.8542595,3053473913.708027,1157036307.9730887,1212133275.019426,27548483.523168776,154271507.72974515,0.0,0.0,0.0,0.0
8221199.711603374,21923199.23094233,13701999.519338956,10961599.615471166,779973850.1053808,0.0,0.0,0.0,0.0,2061548.5206590581,123317995.67405064,3037459253.4470596,1150967959.6244726,1205775957.7018282,27403999.038677912,153462394.6165963,0.0,0.0,0.0,0.0
8214352.1279131165,21904939.00776831,13690586.879855195,10952469.503884155,803783566.4181724,0.0,0.0,0.0,0.0,2040085.488391644,123215281.91869678,3034929299.5262995,1150009297.9078364,1204771645.427257,27381173.75971039,153334573.05437818,0.0,0.0,0.0,0.0
8360239.8995744465,22293973.065531857,13933733.165957412,11146986.532765929,828016145.8372288,0.0,0.0,0.0,0.0,2452703.570656368,125403598.49361672,3088829968.229439,1170433585.9404225,1226168518.604252,27867466.331914824,156057811.458723,0.0,0.0,0.0,0.0
8367153.017407318,22312408.04641951,13945255.029012198,11156204.023209754,852268763.2789891,0.0,0.0,0.0,0.0,2470866.7505603423,125507295.26110978,3091384134.8314233,1171401422.4370246,1227182442.5530732,27890510.058024395,156186856.3249366,0.0,0.0,0.0,0.0
8255391.658803712,22014377.756809894,13758986.098006187,11007188.878404947,876197434.7537824,0.0,0.0,0.0,0.0,2154734.080793368,123830874.88205568,3050092038.2060113,1155754832.2325196,1210790776.6245444,27517972.196012374,154100644.29766926,0.0,0.0,0.0,0.0
8352688.956760784,22273837.218028754,13921148.261267973,11136918.609014377,900408127.3820745,0.0,0.0,0.0,0.0,2426101.8286921266,125290334.35141177,3086040146.5578837,1169376453.9465098,1225061046.9915814,27842296.522535946,155916860.52620128,0.0,0.0,0.0,0.0
8308975.120543796,22157266.988116786,13848291.867572991,11078633.494058393,924492113.238723,0.0,0.0,0.0,0.0,2284704.646648684,124634626.80815695,3069889341.203581,1163256516.8761315,1218649684.3464234,27696583.735145982,155100868.91681752,0.0,0.0,0.0,0.0
8272876.86334773,22061004.96892728,13788128.10557955,11030502.48446364,948471466.4658179,0.0,0.0,0.0,0.0,2200960.7610948705,124093152.95021598,3056552238.4448743,1158202760.8686824,1213355273.2910004,27576256.2111591,154427034.78249094,0.0,0.0,0.0,0.0
8335621.038016991,22228322.768045306,13892701.730028318,11114161.384022653,972632686.8658673,0.0,0.0,0.0,0.0,2394047.1008492513,125034315.57025488,3079734119.5126777,1166986945.3223789,1222557752.242492,27785403.460056636,155598259.37631717,0.0,0.0,0.0,0.0
8268471.52405108,22049257.397469547,13780785.873418467,11024628.698734773,996599270.9935515,0.0,0.0,0.0,0.0,2185852.748884294,124027072.86076625,3054924612.419406,1157586013.3671515,1212709156.8608253,27561571.746836934,154344801.78228685,0.0,0.0,0.0,0.0
8241862.593553615,21978300.249476306,13736437.65592269,10989150.124738153,1020488727.7864605,0.0,0.0,0.0,0.0,2098053.44570903,123627938.90330423,3045093499.564942,1153860763.0975063,1208806513.721197,27472875.31184538,153848101.74633414,0.0,0.0,0.0,0.0
8376364.414161139,22336971.771096367,13960607.356935231,11168485.885548184,1044768044.9289566,0.0,0.0,0.0,0.0,2496413.916096056,125645466.21241711,3094787438.8854017,1172691017.9825594,1228533447.4103003,27921214.713870462,156358802.3976746,0.0,0.0,0.0,0.0
8293731.113396416,22116616.30239044,13822885.18899403,11058308.15119522,1068807845.2576418,0.0,0.0,0.0,0.0,2255189.3246852667,124405966.70094626,3064257188.6961956,1161122355.8754985,1216413896.6314745,27645770.37798806,154816314.1167331,0.0,0.0,0.0,0.0
8396503.403896354,22390675.74372361,13994172.33982726,11195337.871861804,1093145536.2834282,0.0,0.0,0.0,0.0,2542649.3697865373,125947551.05844535,3102228124.2929063,1175510476.5454898,1231487165.9047987,27988344.67965452,156734730.20606527,0.0,0.0,0.0,0.0
8341123.1135896975,22242994.96957252,13901871.855982827,11121497.48478626,1117322704.7286155,0.0,0.0,0.0,0.0,2380084.881187529,125116846.70384549,3081766953.034273,1167757235.9025576,1223364723.326489,27803743.711965654,155700964.78700766,0.0,0.0,0.0,0.0
8392929.036809698,22381144.09815919,13988215.061349494,11190572.049079595,1141650035.270093,0.0,0.0,0.0,0.0,2529188.8978773835,125893935.55214547,3100907514.799956,1175010065.1533577,1230962925.3987556,27976430.12269899,156668008.68711433,0.0,0.0,0.0,0.0
8265483.952923018,22041290.541128047,13775806.58820503,11020645.270564023,1165607959.771319,0.0,0.0,0.0,0.0,2167169.21042614,123982259.29384528,3053820804.473291,1157167753.4092226,1212270979.7620425,27551613.17641006,154289033.78789634,0.0,0.0,0.0,0.0
8311738.571316636,22164636.190177694,13852897.618861062,11082318.095088847,1189699955.6302078,0.0,0.0,0.0,0.0,2290865.604488802,124676078.56974958,3070910344.14912,1163643399.9843292,1219054990.4597733,27705795.237722125,155152453.33124387,0.0,0.0,0.0,0.0
8278365.953255442,22075642.54201451,13797276.58875907,11037821.271007255,1213695219.2628324,0.0,0.0,0.0,0.0,2202392.1826244723,124175489.29883166,3058580274.1961107,1158971233.4557621,1214160339.8107982,27594553.17751814,154529497.7941016,0.0,0.0,0.0,0.0
8340557.707179648,22241487.219145723,13900929.511966081,11120743.609572861,1237870748.8488603,0.0,0.0,0.0,0.0,2371522.0976279657,125108365.60769473,3081558054.2126403,1167678079.0051508,1223281797.053015,27801859.023932163,155690410.5340201,0.0,0.0,0.0,0.0
8456961.820144836,22551898.18705289,14094936.366908057,11275949.093526445,1262383681.6608744,0.0,0.0,0.0,0.0,2716255.9880140154,126854427.30217253,3124565493.8161783,1183974654.820277,1240354400.287909,28189872.733816113,157863287.30937025,0.0,0.0,0.0,0.0
8476442.701645788,22603847.20438876,14127404.502742978,11301923.60219438,1286953080.7960796,0.0,0.0,0.0,0.0,2762848.5432051797,127146640.52468683,3131763030.168063,1186701978.2304103,1243211596.241382,28254809.005485956,158226930.43072134,0.0,0.0,0.0,0.0
8312206.525341879,22165884.067578338,13853677.542236464,11082942.033789169,1311046433.0434473,0.0,0.0,0.0,0.0,2272333.998567765,124683097.88012819,3071083237.562979,1163708913.547863,1219123623.7168088,27707355.08447293,155161188.4730484,0.0,0.0,0.0,0.0
8419087.509730283,22450900.02594742,14031812.51621714,11225450.01297371,1335449585.245564,0.0,0.0,0.0,0.0,2615132.8785167662,126286312.64595427,3110572198.595015,1178672251.3622398,1234799501.4271083,28063625.03243428,157156300.18163195,0.0,0.0,0.0,0.0
8322035.682660823,22192095.15376219,13870059.471101372,11096047.576881096,1359571427.8040013,0.0,0.0,0.0,0.0,2319671.1456371685,124830535.23991235,3074714783.553752,1165084995.5725152,1220565233.4569206,27740118.942202743,155344666.07633534,0.0,0.0,0.0,0.0
8338017.065504779,22234712.174679406,13896695.109174633,11117356.087339703,1383739593.2112613,0.0,0.0,0.0,0.0,2333802.1468602307,125070255.9825717,3080619371.801832,1167322389.170669,1222909169.6073675,27793390.218349267,155642985.22275588,0.0,0.0,0.0,0.0
8366326.0613478,22310202.8302608,13943876.768913003,11155101.4151304,1407989813.678936,0.0,0.0,0.0,0.0,2445190.3836747855,125494890.92021702,3091078602.1326337,1171285648.5886922,1227061155.664344,27887753.537826005,156171419.8118256,0.0,0.0,0.0,0.0
8348136.009416777,22261696.0251114,13913560.015694628,11130848.0125557,1432187309.3584049,0.0,0.0,0.0,0.0,2381162.4918689188,125222040.14125167,3084357984.279185,1168739041.318349,1224393281.381127,27827120.031389255,155831872.17577982,0.0,0.0,0.0,0.0
8470199.768919788,22587199.3837861,14116999.614866314,11293599.69189305,1456738613.0364332,0.0,0.0,0.0,0.0,2733448.340828373,127052996.53379683,3129456474.6235642,1185827967.6487706,1242295966.1082356,28233999.22973263,158110395.6865027,0.0,0.0,0.0,0.0
8351972.418267307,22271926.44871282,13919954.030445514,11135963.22435641,1480947228.741556,0.0,0.0,0.0,0.0,2398926.3583226316,125279586.27400963,3085775409.469161,1169276138.557423,1224955954.679205,27839908.06089103,155903485.14098972,0.0,0.0,0.0,0.0
8514859.009295698,22706290.691455193,14191431.682159496,11353145.345727596,1505627979.4931376,0.0,0.0,0.0,0.0,2861076.2599817356,127722885.13943549,3145956575.301117,1192080261.3013978,1248845988.0300357,28382863.364318993,158944034.84018636,0.0,0.0,0.0,0.0
8463582.607202783,22569553.619207423,14105971.012004642,11284776.809603712,1530160102.9922762,0.0,0.0,0.0,0.0,2719798.234738508,126953739.10804178,3127011653.941189,1184901565.00839,1241325449.0564084,28211942.024009284,157986875.33445197,0.0,0.0,0.0,0.0
8433396.273007087,22489056.728018902,14055660.455011813,11244528.364009451,1554604729.8705575,0.0,0.0,0.0,0.0,2621425.4546814184,126500944.09510635,3115858809.667019,1180675478.2209926,1236898120.0410397,28111320.910023626,157423397.0961323,0.0,0.0,0.0,0.0
8387516.720577055,22366711.254872143,13979194.534295091,11183355.627436072,1578916372.538897,0.0,0.0,0.0,0.0,2486844.8439392895,125812750.80865584,3098907844.3625355,1174252340.8807878,1230169119.017968,27958389.068590183,156566978.784105,0.0,0.0,0.0,0.0
8521570.822589364,22724188.860238302,14202618.03764894,11362094.430119151,1603616577.8217647,0.0,0.0,0.0,0.0,2873829.6204677233,127823562.33884047,3148436366.5860167,1193019915.162511,1249830387.3131068,28405236.07529788,159069322.0216681,0.0,0.0,0.0,0.0
8401446.106440596,22403856.28384159,14002410.177400997,11201928.141920796,1627968595.5215926,0.0,0.0,0.0,0.0,2511044.44102782,126021691.59660898,3104054288.1262527,1176202454.9016838,1232212095.6112876,28004820.354801994,156826993.98689115,0.0,0.0,0.0,0.0
8547828.195281208,22794208.520749882,14246380.325468676,11397104.260374941,1652744909.1311033,0.0,0.0,0.0,0.0,2946875.085110744,128217422.92921813,3158137590.5498962,1196695947.339369,1253681468.6412435,28492760.650937352,159559459.6452492,0.0,0.0,0.0,0.0
8550471.711738009,22801257.89796802,14250786.186230013,11400628.94898401,1677528885.1071553,0.0,0.0,0.0,0.0,2961738.1764522004,128257075.67607014,3159114281.763469,1197066039.6433213,1254069184.3882413,28501572.372460026,159608805.28577617,0.0,0.0,0.0,0.0
8560340.22445447,22827573.93187859,14267233.707424117,11413786.965939295,1702341465.467893,0.0,0.0,0.0,0.0,2980171.788337599,128405103.3668171,3162760368.2617784,1198447631.4236262,1255516566.2533224,28534467.414848235,159793017.52315012,0.0,0.0,0.0,0.0
8564637.932743186,22839034.487315163,14274396.554571977,11419517.243657582,1727166502.9541051,0.0,0.0,0.0,0.0,3000163.769012136,128469568.99114783,3164348228.217516,1199049310.5840461,1256146896.802334,28548793.109143954,159873241.41120616,0.0,0.0,0.0,0.0
8403169.05481162,22408450.812830985,14005281.758019367,11204225.406415492,1751523514.7071824,0.0,0.0,0.0,0.0,2522227.142277163,126047535.82217433,3104690860.117733,1176443667.673627,1232464794.7057045,28010563.516038734,156859155.68981692,0.0,0.0,0.0,0.0
8579226.836866198,22877938.231643192,14298711.394776998,11438969.115821596,1776390838.872012,0.0,0.0,0.0,0.0,3030479.083229561,128688402.55299298,3169738341.9941645,1201091757.1612678,1258286602.7403758,28597422.789553996,160145567.62150237,0.0,0.0,0.0,0.0
8543335.358010449,22782227.621361196,14238892.26335075,11391113.810680598,1801154129.764796,0.0,0.0,0.0,0.0,2924570.968383913,128150030.37015675,3156477636.939594,1196066950.121463,1253022519.174866,28477784.5267015,159475593.34952837,0.0,0.0,0.0,0.0
8596487.235897703,22923965.962393872,14327478.726496173,11461982.981196936,1826071484.071746,0.0,0.0,0.0,0.0,3086447.6797498674,128947308.53846557,3176115484.089671,1203508213.0256786,1260818127.9316633,28654957.452992346,160467761.73675713,0.0,0.0,0.0,0.0
8555964.514491387,22815905.371977028,14259940.857485643,11407952.685988514,1850871381.2151995,0.0,0.0,0.0,0.0,2958875.4318532944,128339467.71737082,3161143689.2874174,1197835032.0287943,1254874795.4587367,28519881.714971285,159711337.6038392,0.0,0.0,0.0,0.0
8615698.55509831,22975196.146928824,14359497.59183052,11487598.073464412,1875844420.5053394,0.0,0.0,0.0,0.0,3139459.619740033,129235478.32647468,3183213426.156989,1206197797.7137637,1263635788.0810854,28718995.18366104,160826373.0285018,0.0,0.0,0.0,0.0
8448584.389270553,22529558.371388137,14080973.982117588,11264779.185694069,1900333070.909022,0.0,0.0,0.0,0.0,2644380.2020827644,126728765.83905832,3121470312.355827,1182801814.4978776,1239125710.4263477,28161947.964235175,157706908.599717,0.0,0.0,0.0,0.0
8598408.100868609,22929088.26898295,14330680.168114347,11464544.134491475,1925255992.9405253,0.0,0.0,0.0,0.0,3076944.052303212,128976121.51302914,3176825179.667588,1203777134.1216052,1261099854.7940624,28661360.336228695,160503617.88288066,0.0,0.0,0.0,0.0
8597293.5272985,22926116.072796002,14328822.545497501,11463058.036398001,1950175684.3239992,0.0,0.0,0.0,0.0,3059579.8778739166,128959402.90947752,3176413381.8858857,1203621093.8217902,1260936384.0037801,28657645.090995003,160482812.509572,0.0,0.0,0.0,0.0
8489236.193998247,22637963.18399533,14148726.98999708,11318981.591997664,1974782166.0457332,0.0,0.0,0.0,0.0,2757218.1269340552,127338542.90997376,3136489799.1425524,1188493067.159755,1245087975.119743,28297453.97999416,158465742.2879673,0.0,0.0,0.0,0.0
8509268.250309702,22691382.000825867,14182113.750516167,11345691.000412934,1999446711.6988049,0.0,0.0,0.0,0.0,2813221.5874715988,127639023.75464554,3143890976.214424,1191297555.0433583,1248026010.0454228,28364227.501032334,158839674.00578108,0.0,0.0,0.0,0.0
8642604.981042162,23046946.616112426,14404341.63507027,11523473.308056213,2024497740.6293619,0.0,0.0,0.0,0.0,3198294.09215699,129639074.71563242,3193154453.662377,1209964697.3459027,1267582063.8861835,28808683.27014054,161328626.312787,0.0,0.0,0.0,0.0
8472819.292855285,22594184.780947424,14121365.488092141,11297092.390473712,2049056637.1303916,0.0,0.0,0.0,0.0,2714179.1506298115,127092289.39282928,3130424301.4002657,1186194700.99974,1242680162.9521084,28242730.976184282,158159293.46663198,0.0,0.0,0.0,0.0
8599364.490201544,22931638.64053745,14332274.150335906,11465819.320268724,2073982331.304889,0.0,0.0,0.0,0.0,3070323.4184972313,128990467.35302319,3177178533.6464634,1203911028.6282163,1261240125.22956,28664548.300671812,160521470.48376215,0.0,0.0,0.0,0.0
8461438.794022325,22563836.784059536,14102397.990037212,11281918.392029768,2098508240.8527799,0.0,0.0,0.0,0.0,2678611.9682908035,126921581.91033493,3126219586.4314485,1184601431.1631258,1241011023.1232746,28204795.980074424,157946857.48841676,0.0,0.0,0.0,0.0
8489508.858332548,22638690.28888679,14149181.430554247,11319345.144443395,2123115512.9059176,0.0,0.0,0.0,0.0,2749321.0679378193,127342632.87498821,3136590539.5252647,1188531240.1665568,1245127965.8887734,28298362.861108493,158470832.02220753,0.0,0.0,0.0,0.0
8470032.844020348,22586754.250720926,14116721.40670058,11293377.125360463,2147666332.743658,0.0,0.0,0.0,0.0,2700162.3913401384,127050492.66030522,3129394801.437384,1185804598.1628487,1242271483.789651,28233442.81340116,158107279.7550465,0.0,0.0,0.0,0.0
8646140.61235626,23056374.96628336,14410234.3539271,11528187.48314168,2172727609.880923,0.0,0.0,0.0,0.0,3200411.792464524,129692109.18534394,3194460751.5785594,1210459685.7298765,1268100623.1455848,28820468.7078542,161394624.76398352,0.0,0.0,0.0,0.0
8683524.74655924,23156065.99082464,14472541.244265402,11578032.99541232,2197897246.8274713,0.0,0.0,0.0,0.0,3306971.0101485285,130252871.19838865,3208272943.028754,1215693464.5182939,1273583629.4953554,28945082.488530803,162092461.9357725,0.0,0.0,0.0,0.0
8494224.320585664,22651264.854895104,14157040.534309441,11325632.427447552,2222518186.88714,0.0,0.0,0.0,0.0,2743992.0944685936,127413364.80878498,3138332745.6457167,1189191404.881993,1245819567.0192308,28314081.068618882,158558853.9842657,0.0,0.0,0.0,0.0
8586443.316935794,22897182.17849545,14310738.861559657,11448591.089247726,2247406428.3855042,0.0,0.0,0.0,0.0,3031699.644364624,128796649.75403695,3172404590.8305445,1202102064.3710113,1259345019.8172498,28621477.723119315,160280275.24946815,0.0,0.0,0.0,0.0
8711514.820820123,23230706.188853662,14519191.368033541,11615353.094426831,2272657195.9820843,0.0,0.0,0.0,0.0,3383925.0301800724,130672722.31230189,3218614342.4656754,1219612074.9148176,1277688840.3869514,29038382.736067083,162614943.32197565,0.0,0.0,0.0,0.0
8642735.308717284,23047294.15657942,14404558.847862137,11523647.07828971,2297708602.6740184,0.0,0.0,0.0,0.0,3182522.2175341556,129641029.63075925,3193202605.3940787,1209982943.2204196,1267601178.6118681,28809117.695724275,161331059.09605595,0.0,0.0,0.0,0.0
8578437.073179312,22875832.195144832,14297395.121965522,11437916.097572416,2322573637.6687407,0.0,0.0,0.0,0.0,3004075.1943226466,128676556.0976897,3169446550.637316,1200981190.2451038,1258170770.7329657,28594790.243931044,160130825.36601382,0.0,0.0,0.0,0.0
8625091.833667502,23000244.889780007,14375153.056112507,11500122.444890004,2347573903.8532844,0.0,0.0,0.0,0.0,3138174.0533434893,129376377.50501256,3186683929.47902,1207512856.7134507,1265013468.9379005,28750306.112225015,161001714.22846004,0.0,0.0,0.0,0.0
8629997.666369397,23013327.110318393,14383329.443948997,11506663.555159196,2372588389.842761,0.0,0.0,0.0,0.0,3141759.015476519,129449964.99554099,3188496471.1346135,1208199673.2917159,1265732991.0675118,28766658.887897994,161093289.77222878,0.0,0.0,0.0,0.0