nb_pop,nb_men,nb_woman
34146,16518,17628
34127,16507,17620
34127,16507,17620
34127,16507,17620
34112,16504,17608
34164,16531,17633
34164,16531,17633
34234,16573,17661
34234,16573,17661
34234,16573,17661
34234,16573,17661
34234,16573,17661
34234,16573,17661
34234,16573,17661
34205,16567,17638
34205,16567,17638
34205,16567,17638
34199,16561,17638
34257,16591,17666
34257,16591,17666
34305,16614,17691
34305,16614,17691
34305,16614,17691
34305,16614,17691
34305,16614,17691
34305,16614,17691
34305,16614,17691
34282,16600,17682
34282,16600,17682
34282,16600,17682
34277,16601,17676
34328,16650,17678
34328,16650,17678
34371,16669,17702
34371,16669,17702
34371,16669,17702
34371,16669,17702
34371,16669,17702
34371,16669,17702
34371,16669,17702
34326,16639,17687
34326,16639,17687
34326,16639,17687
34311,16633,17678
34363,16667,17696
34363,16667,17696
34391,16681,17710
34391,16681,17710
34391,16681,17710
34391,16681,17710
34391,16681,17710
34391,16681,17710
34391,16681,17710
34369,16677,17692
34369,16677,17692
34369,16677,17692
34357,16673,17684
34411,16695,17716
34411,16695,17716
34462,16725,17737
34462,16725,17737
34462,16725,17737
34462,16725,17737
34462,16725,17737
34462,16725,17737
34462,16725,17737
34426,16704,17722
34426,16704,17722
34426,16704,17722
34407,16696,17711
34450,16718,17732
34450,16718,17732
34476,16736,17740
34476,16736,17740
34476,16736,17740
34476,16736,17740
34476,16736,17740
34476,16736,17740
34476,16736,17740
34450,16724,17726
34450,16724,17726
34450,16724,17726
34444,16723,17721
34486,16740,17746
34486,16740,17746
34528,16757,17771
34528,16757,17771
34528,16757,17771
34528,16757,17771
34528,16757,17771
34528,16757,17771
34528,16757,17771
34489,16746,17743
34489,16746,17743
34489,16746,17743
34467,16738,17729
34485,16746,17739
34485,16746,17739
34512,16756,17756
34512,16756,17756
34512,16756,17756
34512,16756,17756
34512,16756,17756
34512,16756,17756
34512,16756,17756
34471,16738,17733
34471,16738,17733
