nb_pop,nb_men,nb_woman
33276,16015,17261
33314,16039,17275
33314,16039,17275
33314,16039,17275
33314,16039,17275
33314,16039,17275
33314,16039,17275
33470,16114,17356
33609,16178,17431
33609,16178,17431
33672,16201,17471
33672,16201,17471
33672,16201,17471
33672,16201,17471
33702,16216,17486
33702,16216,17486
33702,16216,17486
33702,16216,17486
33702,16216,17486
33702,16216,17486
33863,16306,17557
33980,16362,17618
33980,16362,17618
34056,16399,17657
34056,16399,17657
34056,16399,17657
34056,16399,17657
34107,16418,17689
34107,16418,17689
34107,16418,17689
34107,16418,17689
34107,16418,17689
34107,16418,17689
34242,16471,17771
34364,16527,17837
34364,16527,17837
34442,16558,17884
34442,16558,17884
34442,16558,17884
34442,16558,17884
34461,16567,17894
34461,16567,17894
34461,16567,17894
34461,16567,17894
34461,16567,17894
34461,16567,17894
34605,16633,17972
34716,16699,18017
34716,16699,18017
34781,16732,18049
34781,16732,18049
34781,16732,18049
34781,16732,18049
34813,16757,18056
34813,16757,18056
34813,16757,18056
34813,16757,18056
34813,16757,18056
34813,16757,18056
34961,16823,18138
35062,16875,18187
35062,16875,18187
35131,16892,18239
35131,16892,18239
35131,16892,18239
35131,16892,18239
35180,16920,18260
35180,16920,18260
35180,16920,18260
35180,16920,18260
35180,16920,18260
35180,16920,18260
35354,17009,18345
35479,17070,18409
35479,17070,18409
35551,17110,18441
35551,17110,18441
35551,17110,18441
35551,17110,18441
35573,17129,18444
35573,17129,18444
35573,17129,18444
35573,17129,18444
35573,17129,18444
35573,17129,18444
35731,17194,18537
35826,17239,18587
35826,17239,18587
35890,17264,18626
35890,17264,18626
35890,17264,18626
35890,17264,18626
35894,17256,18638
35894,17256,18638
35894,17256,18638
35894,17256,18638
35894,17256,18638
35894,17256,18638
36042,17334,18708
36142,17380,18762
36142,17380,18762
36206,17407,18799
36206,17407,18799
36206,17407,18799
36206,17407,18799
36215,17409,18806
36215,17409,18806
