nb_pop,nb_men,nb_woman
61040,29576,31464
61040,29576,31464
61081,29600,31481
61081,29600,31481
61246,29682,31564
61374,29746,31628
61847,29985,31862
61847,29985,31862
62025,30067,31958
62025,30067,31958
62025,30067,31958
62025,30067,31958
62025,30067,31958
62127,30121,32006
62127,30121,32006
62160,30126,32034
62160,30126,32034
62316,30197,32119
62434,30259,32175
62869,30478,32391
62869,30478,32391
63029,30560,32469
63029,30560,32469
63029,30560,32469
63029,30560,32469
63029,30560,32469
63092,30600,32492
63092,30600,32492
63109,30611,32498
63109,30611,32498
63279,30681,32598
63390,30749,32641
63870,30973,32897
63870,30973,32897
64045,31050,32995
64045,31050,32995
64045,31050,32995
64045,31050,32995
64045,31050,32995
64136,31089,33047
64136,31089,33047
64141,31089,33052
64141,31089,33052
64317,31175,33142
64458,31241,33217
64884,31457,33427
64884,31457,33427
65055,31539,33516
65055,31539,33516
65055,31539,33516
65055,31539,33516
65055,31539,33516
65145,31580,33565
65145,31580,33565
65157,31596,33561
65157,31596,33561
65312,31681,33631
65421,31738,33683
65840,31950,33890
65840,31950,33890
66011,32042,33969
66011,32042,33969
66011,32042,33969
66011,32042,33969
66011,32042,33969
66111,32097,34014
66111,32097,34014
66130,32112,34018
66130,32112,34018
66293,32194,34099
66411,32265,34146
66840,32476,34364
66840,32476,34364
67021,32570,34451
67021,32570,34451
67021,32570,34451
67021,32570,34451
67021,32570,34451
67079,32604,34475
67079,32604,34475
67080,32615,34465
67080,32615,34465
67254,32711,34543
67352,32753,34599
67748,32962,34786
67748,32962,34786
67910,33046,34864
67910,33046,34864
67910,33046,34864
67910,33046,34864
67910,33046,34864
67990,33082,34908
67990,33082,34908
67985,33072,34913
67985,33072,34913
68149,33147,35002
68286,33210,35076
68736,33450,35286
68736,33450,35286
68898,33523,35375
68898,33523,35375
68898,33523,35375
68898,33523,35375
68898,33523,35375
68960,33557,35403
68960,33557,35403
68980,33569,35411
