nb_pop,nb_men,nb_woman
60773,29338,31435
60773,29338,31435
60773,29338,31435
61002,29462,31540
61432,29670,31762
61432,29670,31762
61432,29670,31762
61432,29670,31762
61617,29761,31856
61617,29761,31856
61617,29761,31856
61617,29762,31855
61617,29762,31855
61766,29826,31940
61766,29826,31940
61766,29826,31940
61958,29918,32040
62382,30124,32258
62382,30124,32258
62382,30124,32258
62382,30124,32258
62531,30198,32333
62531,30198,32333
62531,30198,32333
62529,30197,32332
62529,30197,32332
62644,30253,32391
62644,30253,32391
62644,30253,32391
62855,30356,32499
63319,30620,32699
63319,30620,32699
63319,30620,32699
63319,30620,32699
63466,30703,32763
63466,30703,32763
63466,30703,32763
63464,30702,32762
63464,30702,32762
63593,30776,32817
63593,30776,32817
63593,30776,32817
63760,30843,32917
64224,31069,33155
64224,31069,33155
64224,31069,33155
64224,31069,33155
64373,31149,33224
64373,31149,33224
64373,31149,33224
64371,31149,33222
64371,31149,33222
64517,31222,33295
64517,31222,33295
64517,31222,33295
64715,31334,33381
65184,31596,33588
65184,31596,33588
65184,31596,33588
65184,31596,33588
65319,31671,33648
65319,31671,33648
65319,31671,33648
65318,31670,33648
65318,31670,33648
65450,31725,33725
65450,31725,33725
65450,31725,33725
65645,31853,33792
66061,32065,33996
66061,32065,33996
66061,32065,33996
66061,32065,33996
66215,32139,34076
66215,32139,34076
66215,32139,34076
66210,32140,34070
66210,32140,34070
66335,32199,34136
66335,32199,34136
66335,32199,34136
66504,32295,34209
66975,32523,34452
66975,32523,34452
66975,32523,34452
66975,32523,34452
67103,32592,34511
67103,32592,34511
67103,32592,34511
67098,32592,34506
67098,32592,34506
67202,32638,34564
67202,32638,34564
67202,32638,34564
67332,32692,34640
67756,32905,34851
67756,32905,34851
67756,32905,34851
67756,32905,34851
67882,32953,34929
67882,32953,34929
67882,32953,34929
67877,32951,34926
67877,32951,34926
67975,32997,34978
67975,32997,34978
67975,32997,34978
