nb_pop,nb_men,nb_woman
38788,18718,20070
38858,18758,20100
38858,18758,20100
38858,18758,20100
38858,18758,20100
38858,18758,20100
38858,18758,20100
39306,18964,20342
39306,18964,20342
39306,18964,20342
39306,18964,20342
39306,18964,20342
39369,19006,20363
39369,19006,20363
39438,19039,20399
39438,19039,20399
39438,19039,20399
39438,19039,20399
39438,19039,20399
39438,19039,20399
39847,19252,20595
39847,19252,20595
39847,19252,20595
39847,19252,20595
39847,19252,20595
39916,19293,20623
39916,19293,20623
40003,19328,20675
40003,19328,20675
40003,19328,20675
40003,19328,20675
40003,19328,20675
40003,19328,20675
40382,19505,20877
40382,19505,20877
40382,19505,20877
40382,19505,20877
40382,19505,20877
40418,19530,20888
40418,19530,20888
40477,19554,20923
40477,19554,20923
40477,19554,20923
40477,19554,20923
40477,19554,20923
40477,19554,20923
40924,19759,21165
40924,19759,21165
40924,19759,21165
40924,19759,21165
40924,19759,21165
40979,19785,21194
40979,19785,21194
41034,19815,21219
41034,19815,21219
41034,19815,21219
41034,19815,21219
41034,19815,21219
41034,19815,21219
41487,20054,21433
41487,20054,21433
41487,20054,21433
41487,20054,21433
41487,20054,21433
41538,20086,21452
41538,20086,21452
41640,20133,21507
41640,20133,21507
41640,20133,21507
41640,20133,21507
41640,20133,21507
41640,20133,21507
42071,20337,21734
42071,20337,21734
42071,20337,21734
42071,20337,21734
42071,20337,21734
42117,20356,21761
42117,20356,21761
42195,20395,21800
42195,20395,21800
42195,20395,21800
42195,20395,21800
42195,20395,21800
42195,20395,21800
42633,20608,22025
42633,20608,22025
42633,20608,22025
42633,20608,22025
42633,20608,22025
42666,20623,22043
42666,20623,22043
42713,20637,22076
42713,20637,22076
42713,20637,22076
42713,20637,22076
42713,20637,22076
42713,20637,22076
43129,20839,22290
43129,20839,22290
43129,20839,22290
43129,20839,22290
43129,20839,22290
43167,20847,22320
43167,20847,22320
43192,20872,22320
43192,20872,22320
